id, type, accessories, background
0, light small, mohawk2 blonde / lasereyes red, bitcoin pattern
1, brown, tophat midnight, red
2, gray, hoodie red / eyes pepe, green
3, green, jesterhat, dollar pattern
4, pink small, bob blonde small / 3d glasses, blue
5, purple small, hoodie orange / 3d glasses, euro pattern
6, white, mohawk2 blonde / eyemask, aqua
7, alien, earring / eyes bot green, classic
8, boned, shades rainbow, rainbow
9, bot, cap burgerking / eyes bot green, ukraine
10, deathbot, wizardhat blue, usa
11, demon, eyes zombie, china
12, golden, beanie / shades polarized, great britain
13, hyena, hoodie aqua / eyes deathbot, europe
14, mempool, hoodie purple / shades polarized, austria
15, pepe, hoodie limegreen / eyes bot, bitcoin pattern
16, rainbow, bowler / eyes bot, red
17, safemode, eyes pepe, green
18, zombie, mohawk2 pink / shades blend, dollar pattern
19, blue orc, wizardhat midnight, euro pattern
20, greener orc, wizardhat red / vr, dollar pattern
21, orange2 orc, mohawk2 / shades polarized, bitcoin pattern
22, gold, hoodie limegreen / lasereyes green, yellow
23, black, hoodie indigo / eyes bot green, rainbow
24, default, jesterhat / maxibiz lasereyes green, default
25, maxibiz2, mohawk2 / eyes bored, bitcoin orange
26, albino small, policecap / eyes bot, china
27, brown, mohawk red / vr, great britain
28, gray, wizardhat orange / eyes zombie, europe
29, green small, tophat, austria
30, pink small, eyes big blue, bitcoin pattern
31, purple, hoodie purple / 3d glasses, red
32, red, cap ordinal, green
33, alien, cap / eyes pepe, dollar pattern
34, boned, tophat, blue
35, bot, mohawk red / eyes monobrow, euro pattern
36, deathbot, tophat midnight / 3d glasses, aqua
37, demon, , classic
38, golden, cap terminal / eyes zombie, rainbow
39, hyena, policecap, ukraine
40, mempool, helmet / shades cool, usa
41, pepe, flathat, china
42, rainbow, cap burgerking, great britain
43, safemode, hoodie green, europe
44, zombie, mohawk green / shades polarized, austria
45, blue orc, headband / eyemask, euro pattern
46, greener orc, mohawk blonde / earring cross / eyes monobrow, dollar pattern
47, orange2 orc, peakspike purple, bitcoin pattern
48, gold orc, hoodie midnight / 3d glasses, yellow
49, black, hoodie indigo / eyemask, blue
50, default, bowler / shades rainbow, default
51, maxibiz, peakspike / eyes bot, bitcoin orange
52, albino small, mohawk2 purple / eyemask, classic
53, brown, hoodie orange / eyes bot green, rainbow
54, gray, policecap / lasereyes red, ukraine
55, green small, cap army, usa
56, pink small, bob blonde small / knittedcap / shades blend, china
57, purple, mohawk green / eyemask, great britain
58, white, mohawk2 blonde / shades cool, europe
59, alien, mohawk, austria
60, boned, peakspike / shades rainbow, bitcoin pattern
61, bot, cap mcd red / eyes bot green, red
62, deathbot, knittedcap / 3d glasses, green
